0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad,player_link
14,2DF,Kári Árnason,(1982-10-13)13 October 1982 (aged 33),47,2,Malmö FF,https://en.wikipedia.org/wiki/Malm%C3%B6_FF,Iceland,"https://en.wikipedia.org/wiki/K%C3%A1ri_%C3%81rnason_(footballer,_born_1982)"
15,4FW,Jón Daði Böðvarsson,(1992-05-25)25 May 1992 (aged 24),21,1,1. FC Kaiserslautern,https://en.wikipedia.org/wiki/1._FC_Kaiserslautern,Iceland,https://en.wikipedia.org/wiki/J%C3%B3n_Da%C3%B0i_B%C3%B6%C3%B0varsson
16,3MF,Rúnar Már Sigurjónsson,(1990-06-18)18 June 1990 (aged 25),11,1,GIF Sundsvall,https://en.wikipedia.org/wiki/GIF_Sundsvall,Iceland,https://en.wikipedia.org/wiki/R%C3%BAnar_M%C3%A1r_Sigurj%C3%B3nsson
17,3MF,Aron Gunnarsson (captain),(1989-04-22)22 April 1989 (aged 27),59,2,Cardiff City,https://en.wikipedia.org/wiki/Cardiff_City_F.C.,Iceland,https://en.wikipedia.org/wiki/Aron_Gunnarsson
18,3MF,Theódór Elmar Bjarnason,(1987-03-04)4 March 1987 (aged 29),27,0,AGF,https://en.wikipedia.org/wiki/Aarhus_Gymnastikforening,Iceland,https://en.wikipedia.org/wiki/The%C3%B3d%C3%B3r_Elmar_Bjarnason
19,2DF,Hörður Björgvin Magnússon,(1993-02-11)11 February 1993 (aged 23),5,0,Cesena,https://en.wikipedia.org/wiki/A.C._Cesena,Iceland,https://en.wikipedia.org/wiki/H%C3%B6r%C3%B0ur_Bj%C3%B6rgvin_Magn%C3%BAsson
20,3MF,Emil Hallfreðsson,(1984-06-29)29 June 1984 (aged 31),54,1,Udinese,https://en.wikipedia.org/wiki/Udinese_Calcio,Iceland,https://en.wikipedia.org/wiki/Emil_Hallfre%C3%B0sson
21,3MF,Arnór Ingvi Traustason,(1993-04-30)30 April 1993 (aged 23),7,3,IFK Norrköping,https://en.wikipedia.org/wiki/IFK_Norrk%C3%B6ping,Iceland,https://en.wikipedia.org/wiki/Arn%C3%B3r_Ingvi_Traustason
22,4FW,Eiður Guðjohnsen,(1978-09-15)15 September 1978 (aged 37),86,26,Molde FK,https://en.wikipedia.org/wiki/Molde_FK,Iceland,https://en.wikipedia.org/wiki/Ei%C3%B0ur_Gu%C3%B0johnsen
23,2DF,Ari Freyr Skúlason,(1987-05-14)14 May 1987 (aged 29),38,0,OB,https://en.wikipedia.org/wiki/Odense_Boldklub,Iceland,https://en.wikipedia.org/wiki/Ari_Freyr_Sk%C3%BAlason
1,1GK,Robert Almer,(1984-03-20)20 March 1984 (aged 32),28,0,Austria Wien,https://en.wikipedia.org/wiki/FK_Austria_Wien,Austria,https://en.wikipedia.org/wiki/Robert_Almer
2,3MF,György Garics,(1984-03-08)8 March 1984 (aged 32),41,2,Darmstadt 98,https://en.wikipedia.org/wiki/SV_Darmstadt_98,Austria,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Garics
3,2DF,Aleksandar Dragović,(1991-03-06)6 March 1991 (aged 25),47,1,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Austria,https://en.wikipedia.org/wiki/Aleksandar_Dragovi%C4%87
4,2DF,Martin Hinteregger,(1992-09-07)7 September 1992 (aged 23),14,0,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,Austria,https://en.wikipedia.org/wiki/Martin_Hinteregger
5,2DF,Christian Fuchs (captain),(1986-04-07)7 April 1986 (aged 30),75,1,Leicester City,https://en.wikipedia.org/wiki/Leicester_City_F.C.,Austria,https://en.wikipedia.org/wiki/Christian_Fuchs
6,3MF,Stefan Ilsanker,(1989-05-18)18 May 1989 (aged 27),16,0,RB Leipzig,https://en.wikipedia.org/wiki/RB_Leipzig,Austria,https://en.wikipedia.org/wiki/Stefan_Ilsanker_(footballer)
7,4FW,Marko Arnautović,(1989-04-19)19 April 1989 (aged 27),52,11,Stoke City,https://en.wikipedia.org/wiki/Stoke_City_F.C.,Austria,https://en.wikipedia.org/wiki/Marko_Arnautovi%C4%87
8,3MF,David Alaba,(1992-06-24)24 June 1992 (aged 23),46,11,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Austria,https://en.wikipedia.org/wiki/David_Alaba
9,4FW,Rubin Okotie,(1987-06-06)6 June 1987 (aged 29),17,2,1860 Munich,https://en.wikipedia.org/wiki/TSV_1860_Munich,Austria,https://en.wikipedia.org/wiki/Rubin_Okotie
10,3MF,Zlatko Junuzović,(1987-09-26)26 September 1987 (aged 28),48,7,Werder Bremen,https://en.wikipedia.org/wiki/SV_Werder_Bremen,Austria,https://en.wikipedia.org/wiki/Zlatko_Junuzovi%C4%87
11,3MF,Martin Harnik,(1987-06-10)10 June 1987 (aged 29),58,14,VfB Stuttgart,https://en.wikipedia.org/wiki/VfB_Stuttgart,Austria,https://en.wikipedia.org/wiki/Martin_Harnik
12,1GK,Heinz Lindner,(1990-07-17)17 July 1990 (aged 25),8,0,Eintracht Frankfurt,https://en.wikipedia.org/wiki/Eintracht_Frankfurt,Austria,https://en.wikipedia.org/wiki/Heinz_Lindner
13,2DF,Markus Suttner,(1987-04-16)16 April 1987 (aged 29),16,0,Ingolstadt 04,https://en.wikipedia.org/wiki/FC_Ingolstadt_04,Austria,https://en.wikipedia.org/wiki/Markus_Suttner
14,3MF,Julian Baumgartlinger,(1988-01-02)2 January 1988 (aged 28),45,1,Mainz 05,https://en.wikipedia.org/wiki/1._FSV_Mainz_05,Austria,https://en.wikipedia.org/wiki/Julian_Baumgartlinger
15,2DF,Sebastian Prödl,(1987-06-21)21 June 1987 (aged 28),57,4,Watford,https://en.wikipedia.org/wiki/Watford_F.C.,Austria,https://en.wikipedia.org/wiki/Sebastian_Pr%C3%B6dl
16,2DF,Kevin Wimmer,(1992-11-15)15 November 1992 (aged 23),3,0,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,Austria,https://en.wikipedia.org/wiki/Kevin_Wimmer
17,2DF,Florian Klein,(1986-11-17)17 November 1986 (aged 29),37,0,VfB Stuttgart,https://en.wikipedia.org/wiki/VfB_Stuttgart,Austria,https://en.wikipedia.org/wiki/Florian_Klein
18,3MF,Alessandro Schöpf,(1994-02-07)7 February 1994 (aged 22),4,1,Schalke 04,https://en.wikipedia.org/wiki/FC_Schalke_04,Austria,https://en.wikipedia.org/wiki/Alessandro_Sch%C3%B6pf
19,4FW,Lukas Hinterseer,(1991-03-28)28 March 1991 (aged 25),10,0,Ingolstadt 04,https://en.wikipedia.org/wiki/FC_Ingolstadt_04,Austria,https://en.wikipedia.org/wiki/Lukas_Hinterseer
20,3MF,Marcel Sabitzer,(1994-03-17)17 March 1994 (aged 22),18,3,RB Leipzig,https://en.wikipedia.org/wiki/RB_Leipzig,Austria,https://en.wikipedia.org/wiki/Marcel_Sabitzer
21,4FW,Marc Janko,(1983-06-25)25 June 1983 (aged 32),54,26,Basel,https://en.wikipedia.org/wiki/FC_Basel,Austria,https://en.wikipedia.org/wiki/Marc_Janko
22,3MF,Jakob Jantscher,(1989-01-08)8 January 1989 (aged 27),22,1,Luzern,https://en.wikipedia.org/wiki/FC_Luzern,Austria,https://en.wikipedia.org/wiki/Jakob_Jantscher
23,1GK,Ramazan Özcan,(1984-06-28)28 June 1984 (aged 31),7,0,Ingolstadt 04,https://en.wikipedia.org/wiki/FC_Ingolstadt_04,Austria,https://en.wikipedia.org/wiki/Ramazan_%C3%96zcan
1,1GK,Gábor Király,(1976-04-01)1 April 1976 (aged 40),103,0,Haladás,https://en.wikipedia.org/wiki/Szombathelyi_Halad%C3%A1s,Hungary,https://en.wikipedia.org/wiki/G%C3%A1bor_Kir%C3%A1ly
2,2DF,Ádám Lang,(1993-01-17)17 January 1993 (aged 23),11,0,Videoton,https://en.wikipedia.org/wiki/Videoton_FC,Hungary,https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Lang
3,2DF,Mihály Korhut,(1988-12-01)1 December 1988 (aged 27),4,0,Debrecen,https://en.wikipedia.org/wiki/Debreceni_VSC,Hungary,https://en.wikipedia.org/wiki/Mih%C3%A1ly_Korhut
4,2DF,Tamás Kádár,(1990-03-14)14 March 1990 (aged 26),30,0,Lech Poznań,https://en.wikipedia.org/wiki/Lech_Pozna%C5%84,Hungary,https://en.wikipedia.org/wiki/Tam%C3%A1s_K%C3%A1d%C3%A1r
5,2DF,Attila Fiola,(1990-02-17)17 February 1990 (aged 26),15,0,Puskás Akadémia,https://en.wikipedia.org/wiki/Pusk%C3%A1s_Akad%C3%A9mia_FC,Hungary,https://en.wikipedia.org/wiki/Attila_Fiola
6,3MF,Ákos Elek,(1988-07-21)21 July 1988 (aged 27),38,1,Diósgyőri VTK,https://en.wikipedia.org/wiki/Di%C3%B3sgy%C5%91ri_VTK,Hungary,https://en.wikipedia.org/wiki/%C3%81kos_Elek
7,4FW,Balázs Dzsudzsák (captain),(1986-12-23)23 December 1986 (aged 29),78,18,Bursaspor,https://en.wikipedia.org/wiki/Bursaspor,Hungary,https://en.wikipedia.org/wiki/Bal%C3%A1zs_Dzsudzs%C3%A1k
8,3MF,Ádám Nagy,(1995-06-17)17 June 1995 (aged 20),8,0,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Hungary,https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Nagy
9,4FW,Ádám Szalai,(1987-12-09)9 December 1987 (aged 28),32,8,Hannover 96,https://en.wikipedia.org/wiki/Hannover_96,Hungary,https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Szalai
10,4FW,Zoltán Gera,(1979-04-22)22 April 1979 (aged 37),89,24,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Hungary,https://en.wikipedia.org/wiki/Zolt%C3%A1n_Gera
11,4FW,Krisztián Németh,(1989-01-05)5 January 1989 (aged 27),24,3,Al-Gharafa,https://en.wikipedia.org/wiki/Al-Gharafa_Sports_Club,Hungary,https://en.wikipedia.org/wiki/Kriszti%C3%A1n_N%C3%A9meth
12,1GK,Dénes Dibusz,(1990-11-16)16 November 1990 (aged 25),4,0,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Hungary,https://en.wikipedia.org/wiki/D%C3%A9nes_Dibusz
13,4FW,Dániel Böde,(1986-10-24)24 October 1986 (aged 29),12,4,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Hungary,https://en.wikipedia.org/wiki/D%C3%A1niel_B%C3%B6de
14,3MF,Gergő Lovrencsics,(1988-09-01)1 September 1988 (aged 27),12,1,Lech Poznań,https://en.wikipedia.org/wiki/Lech_Pozna%C5%84,Hungary,https://en.wikipedia.org/wiki/Gerg%C5%91_Lovrencsics
15,3MF,László Kleinheisler,(1994-04-08)8 April 1994 (aged 22),5,1,Werder Bremen,https://en.wikipedia.org/wiki/SV_Werder_Bremen,Hungary,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Kleinheisler
16,2DF,Ádám Pintér,(1988-06-12)12 June 1988 (aged 27),21,0,Ferencváros,https://en.wikipedia.org/wiki/Ferencv%C3%A1rosi_TC,Hungary,https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Pint%C3%A9r
17,4FW,Nemanja Nikolić,(1987-12-31)31 December 1987 (aged 28),18,3,Legia Warsaw,https://en.wikipedia.org/wiki/Legia_Warsaw,Hungary,"https://en.wikipedia.org/wiki/Nemanja_Nikoli%C4%87_(footballer,_born_1987)"
18,3MF,Zoltán Stieber,(1988-10-16)16 October 1988 (aged 27),12,2,1. FC Nürnberg,https://en.wikipedia.org/wiki/1._FC_N%C3%BCrnberg,Hungary,https://en.wikipedia.org/wiki/Zolt%C3%A1n_Stieber
19,4FW,Tamás Priskin,(1986-09-27)27 September 1986 (aged 29),56,17,Slovan Bratislava,https://en.wikipedia.org/wiki/%C5%A0K_Slovan_Bratislava,Hungary,https://en.wikipedia.org/wiki/Tam%C3%A1s_Priskin
20,2DF,Richárd Guzmics,(1987-04-16)16 April 1987 (aged 29),14,1,Wisła Kraków,https://en.wikipedia.org/wiki/Wis%C5%82a_Krak%C3%B3w,Hungary,https://en.wikipedia.org/wiki/Rich%C3%A1rd_Guzmics
21,2DF,Barnabás Bese,(1994-05-06)6 May 1994 (aged 22),1,0,MTK Budapest,https://en.wikipedia.org/wiki/MTK_Budapest_FC,Hungary,https://en.wikipedia.org/wiki/Barnab%C3%A1s_Bese
22,1GK,Péter Gulácsi,(1990-05-06)6 May 1990 (aged 26),3,0,RB Leipzig,https://en.wikipedia.org/wiki/RB_Leipzig,Hungary,https://en.wikipedia.org/wiki/P%C3%A9ter_Gul%C3%A1csi
23,2DF,Roland Juhász,(1983-07-01)1 July 1983 (aged 32),91,6,Videoton,https://en.wikipedia.org/wiki/Videoton_FC,Hungary,https://en.wikipedia.org/wiki/Roland_Juh%C3%A1sz
